building_size,type,Value,bedroom,age,bathrooms,toilets,Boy'squarter,loc_density,condition,Ceiling ,Floor,Roof,Window ,Painting,water,Electricity,Car_park,Security
64,Mini Flat,86,88,65,34,78,Present,High density,Very good,Asbestos,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Very good,Present,Gated estate
200,Bungalow,60000000,2,3,2,3,Absent,Medium density,Very good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Not present,Private gate/fence
200,Terrace,100000000,4,1,4,5,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Gated estate
500,Detached house,150000000,5,9,5,5,Absent,Medium density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Good,Present,Gated estate
100,Mini Flat,50000000,1,5,1,2,Absent,High density,Good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Very good,Not present,Private gate/fence
300,Detached house,250000000,5,5,6,7,Present,High density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Very good,Present,Gated estate
243,Bungalow,48000000,3,17,3,4,Absent,Low density,Fair,Asbestos,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Fair,Not present,None
500,Detached house,261500000,4,2,4,5,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Fair,Very good,Present,Gated estate
150,Terrace,85000000,2,1,2,3,Absent,Medium density,Very good,Others,Wooden,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Good,Not present,Gated estate
380,Detached house,390000000,5,5,5,6,Present,High density,Very good,Others,Tiles,Others,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Gated estate
500,Semi-detached house,65000000,3,12,4,5,Present,Medium density,Good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Satin Paint,Good,Fair,Not present,Private gate/fence
220,Semi-detached house,165000000,4,8,5,6,Present,Medium density,Good,POP,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Private gate/fence
550,Detached house,110000000,4,5,4,5,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Gated estate
550,Semi-detached house,120000000,4,8,4,5,Present,Medium density,Good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Good,Present,Private gate/fence
250,Bungalow,33000000,3,4,4,5,Present,Low density,Good,POP,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Fair,Not present,Private gate/fence
600,Bungalow,46000000,3,9,3,4,Absent,Medium density,Good,Others,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Very good,Not present,Private gate/fence
346,Mini Flat,49999999,2,2,2,2,Absent,High density,Very good,POP,Marble,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Good,Not present,Street gate
300,Detached house,600000000,5,1,5,6,Present,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Very good,Present,Private gate/fence
335,Detached house,450000000,5,1,5,5,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Good,Present,Gated estate
150,Semi-detached house,150000000,3,2,4,5,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Satin Paint,Good,Good,Not present,Gated estate
400,Detached house,650000000,5,4,5,6,Present,Medium density,Very good,Others,Others,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Present,Private gate/fence
1200,Terrace,250000000,2,7,3,4,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Textcote Paint,Good,Good,Present,Street gate
